ds,yhat,yhat_lower,yhat_upper
2017-01-18 11:08:00,70.21487849645808,56.471453954031155,83.98738981494128
2017-01-18 11:10:00,70.21334510599584,55.91958076221271,83.90026187679504
2017-01-18 11:12:00,70.21181204128027,55.20983374567316,83.33583052003281
2017-01-18 11:14:00,70.21027930232164,56.77210787311115,84.01184164982304
2017-01-18 11:16:00,70.20874688913517,57.27394844351739,83.67746772430883
2017-01-18 11:18:00,70.20721480171714,57.24655869256296,84.2605386726998
2017-01-18 11:20:00,70.20568304008674,56.82890498388661,83.91639601142754
2017-01-18 11:22:00,70.20415160424635,55.65196797090809,83.58789642200186
2017-02-01 12:38:00,68.52343005066447,55.32166315766205,83.18310885628446
2017-02-01 12:40:00,68.52406666825947,54.473567194646456,82.2506659448792
2017-02-01 12:42:00,68.5247033125982,55.51508126118362,81.81171465697632
2017-02-01 12:44:00,68.52533998364882,55.39084691837364,81.58996816723538
2017-02-01 12:46:00,68.52597668137392,54.9209290698677,81.27789255170255
2017-02-01 12:48:00,68.52661340574058,54.14215077505963,82.33356431678544
2017-02-01 12:50:00,68.52725015671257,55.21472670307923,81.87583586091569
2017-02-15 10:40:00,72.8650776906808,58.85134004127454,86.31167256011372
2017-02-15 10:42:00,72.86521114159187,60.344794919384874,87.00895069273238
2017-02-15 10:44:00,72.86534455039926,60.60466026447567,87.07222044594192
2017-02-15 10:46:00,72.86547791711342,59.18447658507737,86.75102202499416
2017-02-15 10:48:00,72.86561124174693,59.52557146964389,86.07322373965259
2017-02-15 10:50:00,72.86574452430861,59.422468435412185,86.18996707828342
2017-02-15 10:52:00,72.865877764813,58.90782116643937,86.46547404535715
2017-02-15 10:54:00,72.86601096326454,59.437723912654846,85.4568284772587
2017-03-15 11:48:00,66.7611500728989,53.21026427252455,80.32420468071632
2017-03-15 11:50:00,66.76006893115382,53.40549875073667,80.81113886497238
2017-03-15 11:52:00,66.75898774765963,53.51465287785291,80.54494798347446
2017-03-15 11:54:00,66.75790652244818,53.10526351496739,79.66963654654454
2017-03-15 11:56:00,66.75682525554637,53.886504210557604,81.02318452569678
2017-03-15 11:58:00,66.75574394698074,53.760434343966764,80.10602312991399
2017-03-15 12:00:00,66.75466259677971,53.03303718820073,79.37452996940691
2017-03-15 12:02:00,66.75358120496979,52.851568792670086,81.02790538706124
2017-03-29 11:10:00,59.37328823559686,46.37277437467177,73.22150039756919
2017-03-29 11:12:00,59.37340643944696,46.09668157465092,73.50089851745473
2017-03-29 11:14:00,59.37352487819915,47.08995122359161,72.99851667518026
2017-03-29 11:16:00,59.373643551849426,45.653341856296954,72.62253838106331
2017-03-29 11:18:00,59.3737624604056,44.641230026926195,72.13848952416859
2017-03-29 11:20:00,59.37388160386648,45.13734836132408,72.98677271950108
2017-03-29 11:22:00,59.37400098223614,45.87830909139328,73.18389559268729
2017-03-29 11:24:00,59.374120595519315,45.622050715463125,71.66602123545579
2017-04-12 11:14:00,69.64534859850602,56.31980256501909,83.06208729920837
2017-04-12 11:16:00,69.64672760876554,54.940112448523806,83.02467554975121
2017-04-12 11:18:00,69.64810655415252,56.8415202313425,83.78262706748164
2017-04-12 11:20:00,69.64948543461637,55.26748625562801,83.68699110721167
2017-04-12 11:22:00,69.65086425012241,56.04405553531619,82.37942196769511
2017-04-12 11:24:00,69.65224300061466,55.62262606012095,83.20354655641405
2017-04-12 11:26:00,69.65362168606976,56.67575178670459,83.03428171481298
2017-04-12 11:28:00,69.65500030643932,55.12944181452534,82.46479919064043
2017-04-26 07:15:00,75.59217930993341,63.09783752815754,89.25499168728928
2017-04-26 07:16:00,75.59199556891534,62.505938734394526,88.5789913626471
2017-04-26 07:18:00,75.59162795718726,61.68687167803389,89.47409451005299
2017-04-26 07:20:00,75.59126017254643,61.38358890029105,88.60100081492564
2017-04-26 07:22:00,75.59089221501732,62.28385310932247,89.57321703861095
2017-04-26 07:24:00,75.59052408462547,62.48133146680128,87.35856791582283
2017-04-26 07:26:00,75.59015578138843,61.60545537398276,89.47278778948562
2017-04-26 07:28:00,75.58978730532544,61.80210189717915,89.65304666041315
2017-05-10 11:32:00,67.30954269049285,53.61113895645633,79.78686991356494
2017-05-10 11:34:00,67.30867978429987,53.93433155432901,80.54637400886047
2017-05-10 11:36:00,67.30781691784517,54.75221851141161,80.53107732474538
2017-05-10 11:38:00,67.3069540911334,54.06973105845023,80.74278339106199
2017-05-10 11:40:00,67.30609130417226,53.55643402764382,80.19408651620124
2017-05-10 11:42:00,67.30522855695946,52.812601220001504,81.27254012255064
2017-05-10 11:44:00,67.30436584950007,54.1585987590291,80.70517924934913
2017-05-10 11:46:00,67.3035031817986,54.888125829142396,79.55852586071869
2017-05-24 10:02:00,59.661852410190434,46.146611793279845,74.0070150293102
2017-05-24 10:04:00,59.66100889264697,45.648458525436794,74.11611422704021
2017-05-24 10:06:00,59.660165321698734,45.991919152383076,73.32430841025
2017-05-24 10:08:00,59.65932169734183,46.722303380209254,72.9281183471972
2017-05-24 10:10:00,59.65847801957471,46.11892562015324,73.9899399917523
2017-05-24 10:12:00,59.6576342883819,44.60526371620737,72.70224768593725
2017-05-24 10:14:00,59.65679050376148,45.69223232472361,73.25160729331114
2017-05-24 10:16:00,59.65594666570183,45.941701731170554,71.47950192368545
2017-06-07 11:30:00,48.74245858344569,34.70833583450958,61.89194745522661
2017-06-07 11:32:00,48.74131298283995,34.978304780491385,62.67504195316627
2017-06-07 11:34:00,48.74016741986496,34.649373971510265,61.647172185696995
2017-06-07 11:36:00,48.739021894540585,34.374718046748185,61.092765740217146
