date,coverage_percentage
2019-10-27 08:27:21.598,98.72833632142694
2019-10-29 08:17:28.305,32.198432400128716
2019-11-03 08:17:25.351,58.44826001011355
2019-11-06 08:27:21.749,99.9994253666161
2019-11-23 08:17:21.972,44.54328138647543
2019-11-28 08:17:24.593,36.513929113225764
2019-12-01 08:27:19.544,99.23918539971498
2019-12-03 08:17:19.322,33.58789592240151
2019-12-11 08:27:16.864,99.29492483795339
2019-12-16 08:27:15.364,79.0747253252425
2019-12-26 08:27:15.765,95.96779754516619
2020-01-02 08:17:20.041,96.14306072725601
2020-01-05 08:27:15.592,98.77085919183561
2020-01-15 08:27:14.889,97.29002896152255
2020-01-17 08:17:18.955,34.09414793361835
2020-01-27 08:17:17.968,26.29120121362571
2020-01-30 08:27:13.221,66.47531374982762
2020-02-01 08:17:17.903,54.32181768031995
2020-02-04 08:27:14.232,43.68765227784673
2020-02-11 08:17:19.977,61.12432767894084
2020-02-14 08:27:16.129,21.348204845308693
2020-02-21 08:17:21.495,60.21698156576104
2020-02-24 08:27:17.517,100.0
2020-02-26 08:17:20.064,65.99664414103802
2020-03-05 08:27:18.330,20.113892336689194
2020-03-07 08:17:20.936,27.479543051533124
2020-03-10 08:27:16.769,7.448397922125684
2020-03-15 08:27:18.659,35.72553211051349
2020-03-20 08:27:16.977,39.12104077598492
2020-03-25 08:27:18.498,63.13496988921068
2020-03-27 08:17:21.187,32.81156622075116
2020-04-01 08:17:22.388,80.86011124902312
2020-04-06 08:17:21.997,33.763733737875235
2020-04-11 08:17:21.325,17.128671907323127
2020-04-16 08:17:24.796,94.7409552705374
2020-04-21 08:17:19.705,23.16634487197168
2020-04-24 08:27:15.141,39.4290442697559
2020-05-01 08:17:21.345,38.56709419390429
2020-05-04 08:27:17.725,31.662299452949018
2020-05-06 08:17:28.928,24.907484025191927
2020-05-09 08:27:24.987,30.627384728543188
2020-05-11 08:17:23.595,20.971819978853492
2020-05-14 08:27:19.805,21.33728681101457
2020-05-16 08:17:30.197,12.943616972371627
2020-05-21 08:17:25.322,9.701535420401784
2020-05-24 08:27:21.399,7.673654208614904
2020-05-26 08:17:31.024,19.52316921803889
2020-05-29 08:27:26.784,6.049165632326576
2020-05-31 08:17:26.543,6.836988001654944
2020-06-03 08:27:22.462,7.947754332735715
2020-06-05 08:17:31.349,8.2615041603457
2020-06-08 08:27:26.976,29.335034248149682
2020-06-10 08:17:27.281,6.371534960695077
2020-06-13 08:27:23.037,8.993587091435664
2020-06-15 08:17:31.169,9.002781225578081
2020-06-18 08:27:26.672,6.425550498781778
2020-06-20 08:17:27.529,10.007240380637153
2020-06-23 08:27:23.179,5.376269939778421
2020-06-25 08:17:30.602,6.227876614719809
2020-06-28 08:27:25.968,5.319381234772216
2020-06-30 08:17:27.336,6.932951776766423
2020-07-03 08:27:22.867,10.531880660138832
2020-07-05 08:17:29.600,6.218107847193491
2020-07-08 08:27:24.872,76.40440399025422
2020-07-10 08:17:26.767,11.749528800625201
2020-07-13 08:27:22.169,9.026915827701925
2020-07-15 08:17:29.683,5.295821266032271
2020-07-18 08:27:25.628,7.771916517261987
2020-07-20 08:17:26.689,4.464901392911322
2020-07-23 08:27:22.730,8.515492116029973
2020-07-28 08:27:26.338,52.69158277019261
2020-07-30 08:17:27.735,7.317381510596239
2020-08-02 08:27:19.971,9.021744127246818
2020-08-02 08:27:26.773,15.836284574348857
2020-08-04 08:17:30.967,5.923895554636142
2020-08-07 08:27:26.645,98.0669332965568
2020-08-09 08:17:28.394,8.252884659587183
2020-08-12 08:27:24.140,97.55838275180434
2020-08-14 08:17:30.926,22.513561347860065
2020-08-17 08:27:26.480,86.58058658575828
2020-08-22 08:27:24.238,28.375396497034895
2020-08-24 08:17:30.496,9.668206684135521
2020-08-27 08:27:23.848,98.31747345193766
2020-09-03 08:17:29.634,36.33521813083253
2020-09-06 08:27:22.869,34.24010481312922
2020-09-08 08:17:27.680,10.207787431618627
2020-09-11 08:27:23.024,7.96671723440445
2020-09-13 08:17:29.063,3.839700271226957
2020-09-18 08:17:26.757,95.95975267779157
2020-09-21 08:27:22.821,99.97816393141176
2020-09-23 08:17:30.190,99.9465590952972
2020-09-28 08:17:27.967,9.349859789454328
2020-10-16 08:27:26.357,29.197122236013424
2020-10-18 08:17:28.707,31.873764538224613
2020-10-23 08:17:30.377,32.50413736036409
2020-10-28 08:17:28.116,29.396520020227097
2020-11-07 08:17:26.852,27.389325610260656
2020-11-15 08:27:24.044,76.59863007401277
2020-11-25 08:27:21.953,84.02404266078241
2020-12-02 08:17:24.358,56.976049280559
2020-12-10 08:27:18.117,99.33285064129086
2020-12-20 08:27:16.767,71.61138693513539
2020-12-27 08:17:22.582,41.73274950581529
2020-12-30 08:27:18.752,53.98335861720223
2021-01-21 08:17:25.769,22.046384406748494
2021-02-13 08:27:19.433,27.031903645474188
2021-02-15 08:17:23.109,43.242311405323406
2021-02-18 08:27:18.266,34.56649657518503
2021-02-20 08:17:24.496,35.96055716452903
2021-03-05 08:27:20.521,22.555509584884845
2021-03-07 08:17:24.183,30.28547786512205
2021-03-10 08:27:19.930,29.95563830276284
2021-03-12 08:17:24.662,25.852755941709187
2021-03-27 08:17:23.729,58.67753873029008
2021-04-01 08:17:22.160,69.90932285202041
2021-04-09 08:27:17.678,75.77575506826645
2021-04-11 08:17:19.931,58.05233760860571
2021-04-14 08:27:14.811,49.873580655541765
2021-04-16 08:17:20.682,57.42253941985014
2021-04-19 08:27:15.675,74.83565485220429
2021-04-21 08:17:20.413,76.19523743851423
2021-04-24 08:27:16.835,59.612467245897115
2021-04-26 08:17:20.013,68.16416126511285
2021-04-29 08:27:16.318,59.85438790051947
2021-05-04 08:27:18.933,44.3122787661472
2021-05-06 08:17:22.429,56.3261389233669
2021-05-09 08:27:18.700,44.330092401048134
2021-05-11 08:17:24.404,66.24042390560973
2021-05-14 08:27:20.435,53.83740173769135
2021-05-16 08:17:24.297,39.461798372638256
2021-05-19 08:27:20.353,64.98356548522042
2021-05-21 08:17:25.446,33.101756079621204
2021-05-24 08:27:21.269,78.63628005332598
2021-05-26 08:17:25.485,36.564496851009054
2021-05-29 08:27:21.349,22.669861628281158
2021-06-03 08:27:21.488,40.742656185353745
2021-06-05 08:17:26.013,25.115501310164117
2021-06-13 08:27:21.174,61.86560474417322
2021-06-15 08:17:25.996,53.70351215924241
2021-06-18 08:27:21.492,72.24405829081047
2021-06-20 08:17:25.633,53.77304279869443
2021-06-23 08:27:21.757,33.26897439433642
2021-06-25 08:17:25.503,30.495793683629845
2021-06-28 08:27:21.524,51.40095618995081
2021-07-03 08:27:22.949,43.68305521077552
2021-07-05 08:17:26.537,37.34714751988232
2021-07-08 08:27:22.382,77.5755068266446
2021-07-10 08:17:27.963,45.893095205259044
2021-07-13 08:27:23.788,81.50082747207281
2021-07-18 08:27:22.701,46.53036362800533
2021-07-20 08:17:28.398,33.8010849078288
2021-07-23 08:27:24.082,19.024387440812763
2021-07-25 08:17:27.012,48.438146462556894
2021-07-28 08:27:22.524,33.559164253206454
2021-07-30 08:17:28.318,27.068105548659954
2021-08-02 08:27:23.797,41.49829908518365
2021-08-04 08:17:26.385,49.34032087528157
2021-08-07 08:27:21.753,40.80701512435066
2021-08-09 08:17:27.618,49.57649519606491
2021-08-12 08:27:23.244,79.16264423297936
2021-08-17 08:27:20.452,97.63710752539879
2021-08-19 08:17:27.357,35.38190134694065
2021-08-27 08:27:18.669,99.74716131108353
2021-08-29 08:17:26.595,10.862869489265849
2021-09-01 08:27:21.880,46.22350940100216
2021-09-03 08:17:21.515,59.24700041373604
2021-09-06 08:27:17.188,99.74428814416403
2021-09-11 08:27:21.110,28.839125637843054
2021-09-13 08:17:21.270,51.05387762607456
2021-09-16 08:27:16.717,99.56098009469957
2021-09-21 08:27:23.454,52.80593481358893
2021-09-23 08:17:22.859,38.76304417781456
2021-09-26 08:27:19.200,43.583643635360644
2021-09-28 08:17:29.063,88.6257067990622
2021-10-03 08:17:24.928,32.2972693421597
2021-10-06 08:27:21.040,99.9988507332322
2021-10-11 08:27:25.988,53.46733783845906
2021-10-16 08:27:22.001,99.52477819151382
2021-10-23 08:17:26.571,43.76925021836068
2021-10-31 08:27:25.145,57.80467062014435
2021-11-02 08:17:26.034,26.212565384836466
2021-11-05 08:27:21.296,98.59444674297798
